"kerndaten_id";"uid";"pid";"tstamp";"crdate";"cruser_id";"a0";"a1";"a2";"a3";"a5";"a6";"a7a";"a7b";"a8";"a9a";"a9b";"a9c";"a9d";"a12a";"a12aa";"a12b";"a12c";"a12d";"a12e";"a12f";"a12g";"a12h";"a12i";"a13a";"a13b";"a13c";"a13d";"a14a";"a14aa";"a14b";"a14ba";"a15a";"a15aa";"a15b";"a15ba";"a16a";"a16b";"a16ba";"a17";"a18";"a19";"a20";"a21";"a22";"a23";"a24a";"a24b";"a25";"a25a_a";"a25a";"a25ab";"a25ac";"a25b";"a25c";"a26";"a27";"a28";"a25aa";"c1";"c2";"f1";"f2a";"f2b";"f3a";"f3b";"f4";"f5";"f6";"f7";"f8";"f9"
1;20;1;1386844920;1386844920;1;"Dazit-Porphyr “Porfido rosso antico“";"Geologie";"GZG.HST.";"0.056";"16561";"1";"Magmatite: Vulkanite: Porphyre";"Erstarrungsgesteine: Ergussgesteine: Porphyre";"Porfido rosso antico";"„Porfido rosso antico“, Dazit-Porphyr";"";"Purpurstein, lapis purpureus porphyrites, Porfido rosso egiziano";"";"Präkambrium";"Präkambrium";"es liegt keine konkrete Datierung am Stück vor";"";"";"";"";"";"";"";"Ägypten, vermutlich aus einem römischen Steinbruch (Mons Porphyrites) in der Nähe von Hurghada, Djebel Duchan (= „rauchender Berg“)";"";"";"1095262";"Niebuhr, Carsten (1733-1815)";"cnp00399159";"1761-01-01";"1763-12-31";"Niebuhr, Carsten (1733-1815)";"cnp00399159";"1761-01-01";"1791-12-31";"vermutlich Geschenk";"";"";"Carsten Niebuhr (1733 – 1815), deutscher Mathematiker und Forschungsreisender. 1761 wurde er von König Frederik V. von Dänemark als Kartograf in die sechsköpfige dänische Arabien-Expedition berufen, die im gleichen Jahr als „Arabische Reise“ mit der Schiffspassage von Kopenhagen nach Alexandria (Ägypten) begann. Diese zweite deutsche wissenschaftliche Expedition zur Erforschung des Orients und Palästinas startete von Göttingen aus. Die Resultate der Reise wurden von Carsten Niebuhr in den Jahren 1772-1778 veröffentlicht.";"00025: 562, 620;
00027: 609";"";"";"nein";"";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG ";"";"1";"0";"";"M. Reich, A. Böhme, A. Gehler";"2010-05-04";"A. Gehler";"2013-12-12";"";"";"";"";"";""
2;27;1;1432134872;1432134872;5;"Glimmer";"Mineralogie";"GZG.HST.";"1.554";"10; 8.6.50.5";"1";"Glimmer";"";"Glimmer";"Glimmer";"";"";"http://www.mindat.org/min-6728.html";"";"";"";"";"";"";"";"";"";"";"Dubí (OT Cínovec), Severočeský - Česká Republika - Europe - World";"50° 44\' 00\'\' N, 013° 46\' 00\'\' E";"tgn:1027122";"";"";"";"";"";"";"";"";"";"unbekannt";"";"";"";"";"";"";"nein";"";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG";"";"1";"3";"";"N. Schäfer";"2015-05-12";"N. Schäfer";"2015-05-20";"";"";"";"";"";""
3;20;1;1407960924;1407960924;1;"Kap-Stachelschwein (<i>Hystrix africaeaustralis</i>) [Rasselbecher]";"Zoologie";"GZG.HST.";"0.343";"";"1";"Mammalia: Rodentia: Hystricidae";"Säugetiere: Nagetiere: Stachelschweine";"Hystrix cristata";"<i>Hystrix africaeaustralis</i>, Rasselbecher";"Kap-Stachelschwein, Rasselbecher";"Südafrikanisches Stachelschwein";"";"rezent";"rezent";"";"";"";"";"";"";"";"";"Kapstadt, Province of the Western Cape - South Africa - Africa - World";"33° 56\' 00\'\' S, 018° 28\' 00\'\' E";"7000811";"";"Lichtenstein, Martin Hinrich Karl von (1780-1857)";"cnp01262952";"1802-01-01";"1809-12-31";"Lichtenstein, Martin Hinrich Karl von (1780-1857)";"cnp01262952";"1802-01-01";"1809-12-31";"Geschenk";"";"";"";"Handbuch der Naturgeschichte (1 ed., 1779/1780: 73; 2 ed., 1782: 72; 3 ed., 1788: 74; 4 ed., 1791: 66; 5 ed., 1797: 83; 6 ed., 1799: 84; 7 ed., 1803: 85; 8 ed., 1807: 87-88; 9 ed., 1814: 88-89; 10 ed., 1821: 89-90; 11 ed., 1825: 74; 12 ed., 1830: 55)";"00147 (9): (ohne Seitenzählung, Text zu Taf. 81)";"00147 (9): Taf. 81;
Mohr, E. (1965): Abb. 6";"nein";"Mohr, E. (1965): Altweltliche Stachelschweine. 164 S., Die Neue Brehm-Bücherei Band 350, Wittenberg Lutherstadt (A. Ziemsen)";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG";"";"1";"0";"";"M. Reich, A. Gehler, A. Böhme";"2010-03-15";"A. Gehler";"2014-08-13";"";"";"";"";"";""
4;20;1;1448623333;1448623333;1;"Limerick (Steinmeteorit)";"Meteoritenkunde";"GZG.HST.";"0.330a-b";"115; 4.23.17.2";"2";"Meteorite: Steinmeteorite: Chondrite: gewöhnliche Chondrite: H5";"";"Meteorite, Aërolith";"H5-Chondrit";"";"Adare; Faha; Limerick County; Limerik";"http://www.lpi.usra.edu/meteor/metbull.php?code=14652";"Hadaikum (4000 - 4600)";"Hadaikum (4000 - 4600)";"Fall am 10. September 1813, 9:00 h";"";"";"Beobachteter Fall";"";"";"";"";"Adare, County Limerick - Munster - Republic of Ireland - Europe - World";"52° 34\' 00\'\' N, 008° 48\' 00\'\' W";"1042565";"";"";"";"1813-01-01";"1814-12-31";"Giesecke, Carl Ludwig von (1761-1833)";"cnp01271031";"1813-01-01";"1814-12-31";"Geschenk";"";"";"Blumenbach erhielt für seine Sammlung eine Probe durch K.  L. Giesecke (= Johann Georg Metzler), einem seiner ehemaligen Schüler, der von 1813 bis zu seinem Tod im Jahr 1833 Professor für Mineralogie in Dublin war.";"Handbuch der Naturgeschichte (9 ed., 1814: 614f.; 10 ed., 1821: 624; 11 ed., 1825: 516; 12 ed., 1830: 406f.)";"";"";"nein";"Higgins (1818: 355-358);
Wöhler (1865a: 30);
Wöhler (1865b: 19);
Wöhler (1868: 20);
Klein (1879: 86);
Koritnig (1962: 349-370)";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"";"";"3";"7";"Abgabe von 1,7 g am 01.10.1964 an Prof. Ramdohr; über diesen Meteoritenschauer berichtet Higgins (1818), dass nach heftigen explosionsartigen Geräuschen mehrere Steine in der Grafschaft Limerick fielen. Die drei größten Stücke dieses Falls hatten ein Gewicht von ca. 29,5; 10,9 und 7,7 kg. Die Hauptmasse befindet sich heute im National Museum of Ireland in Dublin.";"M. Reich, A. Gehler, A. Böhme";"2010-03-15";"A. Gehler";"2015-11-27";"";"";"";"";"";""
646;20;1;1448623373;1448623373;1;"Stannern (Steinmeteorit)";"Meteoritenkunde";"GZG.HST.";"0.334";"422; 3.22.6.4";"1";"Meteorite: Steinmeteorite: Achondrite: HED-Gruppe: Eukrite";"Meteorite: Steinmeteorite: Achondrite: HED-Gruppe: Eukrite";"Aërolith";"Eukrit";"";"Cilli; Iglau; Langenpiernitz; Stannein; Stonarov; Stonarow; Stummern";"http://www.lpi.usra.edu/meteor/metbull.php?code=23713";"Hadaikum (4000 - 4600)";"Hadaikum (4000 - 4600)";"Fall am 22. Mai 1808";"";"";"Beobachteter Fall";"";"";"";"";"Stonařov [Stannern], Kraj Vysočina, Tschechische Republik";"49° 17` 0`` N
 15° 34` 0`` E
 ";"";"";"";"";"1808-05-22";"";"Schreibers, Karl von (1775-1852)";"cnp00388438";"";"";"vermutlich Geschenk";"";"";"K. V. Schreibers, damaliger Direktor des kaiserlichen Naturalienkabinettes in Wien, reiste schon einige Tage nach dem Fall nach Stannern (Schreibers 1808) um sich persönlich ein Bild der Fallumstände machen zu können und Proben zu sammeln.
Die Steine hatten ein Gewicht von wenigen Gramm bis zu 3,35 kg und von Schreibers war es möglich eine größere Menge von diesen zu akquirieren. ";"";"";"";"nein";"Jaquin, N. J. von (1808): Ein neuer Steinregen, am 22sten Mai 1808, in Mähren – Annalen der Physik 28: 491.
Schreibers, K. von (1808): Nachrichten von dem Steinregen, der sich am 22sten Mai 1808 in und um Stannern in Mähren ereignet hat; gesammelt auf einer Reise nach Stannern, in Gesellschaft des Directors von Widmanstätten – Annalen der Physik 29: 225-247.
";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG";"";"2";"5";"";"A. Gehler";"2012-10-04";"A. Gehler";"2015-11-27";"";"";"";"";"";""
5;20;1;1420995662;1420995662;1;"Stammstück eines Baumfarns (<i>Cyathea arborea</i>)
";"Botanik";"GZG.HST.";"0.250";"101-17";"1";"Tracheophyta: Polypodiopsida: Cyatheales: Cyatheaceae";"Gefäßpflanzen: Echte Farne: Baumfarne: Schuppige Baumfarne";"Cyathea arborea";"<i>Cyathea arborea</i>, Stammstück ";"Westindischer Baumfarn, Stammstück";"Karibischer Baumfarn";"";"rezent";"rezent";"";"";"";"";"";"";"";"";"Rio de Janeiro (Serra d'Estrella [?] bei Rio de Janeiro), Rio de Janeiro state - Sudeste region - Brasil - South America - World ";"";"7017095";"1001942";"";"";"";"";"";"";"";"";"vermutlich Geschenk";"";"";"";"";"";"";"nein";"";"";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"";"";"1";"1";"";"M. Reich, A. Böhme, A. Gehler";"2010-05-03";"A. Gehler";"2015-01-11";"";"";"";"";"";""
6;20;1;1386845506;1386845506;1;"Fiederblättchen und Sporangien des fossilen Farns <i>Scolecopteris elegans</i>";"Paläobotanik";"GZG.HST.";"0.237";"101-9";"1";"Tracheophyta: Marattiopsida: Marattiaceae ";"Gefäßpflanzen: Marattiopsida: Marattiaceae";"irrig sogenannter Madenstein, Fructificationstheile eines präadamitischen Riesen-farnkrauts. (einer Onoclea?)";"<i>Scolecopteris elegans</i>";"";"Madenfarn, Madenstein, <i>Palaeojulus dyadicus</i>";"";"Sakmarium (284.4 - 294.6)";"Sakmarium (284.4 - 294.6)";"Perm, Rotliegendes, Cisuralium, Sakmarium, Bannewitz-Hainberg-Formation; s. a. A22";"";"";"";"";"";"";"";"Plauen (Windberg bei Plauen), Döhlener Becken, Chemnitz district - Sachsen - Deutschland - Europe - World";"50° 29\' 00\'\' N, 012° 08\' 00\'\' E";"1037492";"";"Christian Gottlieb Pötzsch / Herr E. v. Liebenroth ?";"";"";"1800-12-31";"Christian Gottlieb Pötzsch / Herr E. v. Liebenroth ?";"";"";"1816-12-31";"vermutlich Geschenk";"";"";"Herr Christian Gottlieb Pötzsch (1732-1805) war Konservator des kurfürstlichen Mineralienkabinetts (Dresden)";"Handbuch der Naturgeschichte (10 ed., 1821: 766f.; 11 ed., 1825: 629; 12 ed., 1830: 498)";"Specimen archaeologiae telluris terrarumque inprimis Hannoveranarum (3, 1816: 18 f.)";"Specimen archaeologiae telluris terrarumque inprimis Hannoveranarum (3, 1816: Taf. I, Fig. 3-4)";"ja";"Zenker (1837: 509-512), Geinitz (1872: 128), Solms-Laubach (1883: 26-38), Barthel (1976: 1-97; 2002: 64-77), Barthel et al. (1995: 117-135; 2001: 197-202), Rössler (2001: 28-37), Kretzschmar (2005: 49-56)";"Festlegung Lectotypus durch Barthel et al. (1995)";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"";"";"1";"4";"";"M. Reich, A. Böhme, A. Gehler";"2010-05-04";"A. Gehler";"2013-12-12";"";"";"";"";"";""
7;27;1;1448023584;1448023584;5;"Allanit-(Ce)";"Mineralogie";"GZG.HST.";"1.787";"2; 8.3.92.65";"1";"Silikate: Sorosilikate";"Silikate: Gruppensilikate";"Allanit";"Allanit-(Ce) [(Ce, Ca, Y)2(Al, Fe3+)3(SiO4)3(OH)]";"";"Cerin, Cerorthit, Cerepidot";"http://www.mindat.org/min-125.html";"";"";"";"";"";"";"";"";"";"";"Dänemark, Grönland, Kitaa, Fiskenaes (= Qáqarssuatsiaq)";"63° 5` 0`` N
 50° 40` 0`` W
 ";"";"7031901";"Giesecke, Carl Ludwig von (1761-1833)";"cnp01271031";"1806-01-01";"1813-12-31";"Giesecke, Carl Ludwig von (1761-1833)";"cnp01271031";"1818-01-01";"1818-12-31";"vermutlich Geschenk";"";"";"Karl Ludwig Giesecke (= Johann Georg Metzler; 1761-1833) hatte das Originalmaterial zu Thomas Thomsons (1773-1852) Beschreibung auf Grönland gesammelt. Benannt wurde das Mineral nach dem schottischen Mineralogen Thomas Allan (1777-1833)";"Handbuch der Naturgeschichte (11 ed., 1825: 608/609; 12 ed., 1830: 482)";"";"";"ja";"Thomson (1810: 371-386; 1811a: 278-288; 1811b: 47-59; 1812a: 345-351; 1812b: 371-386; 1813: 113-125), Petersen et al. (2006: 200-205)";"prä-IMA 1810";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG ";"";"1";"3";"";"M. Reich, A. Böhme, A. Gehler, N. Schäfer";"2010-05-05";"N. Schäfer";"2015-11-20";"";"";"";"";"";""
8;20;1;1384896889;1384896889;1;"Brachiopode (<i>Pliothyrina grandis</i>)";"Palaeozoologie";"GZG.HST.";"0.450";"101-1";"1";"Brachiopoda: Rhynchonelliformea: Terebratulida: Terebratulidae";"Armfüßer: Rhynchonelliformea: Terebratulida: Terebrateln s. s.";"Terebratulites grandis ";"<i>Pliothyrina grandis</i>";"";"<i>Terebratula grandis</i>";"";"Chattium (23.03 - 28.4)";"Chattium (23.03 - 28.4)";"";"Biostratigraphie";"an Mikrofossilien (Kalknannoplankton, Foraminiferen und Dinozysten); vgl. u. a. Köthe, A. (2005): Korrelation der Dinozysten-Zonen mit anderen biostratigraphisch wichtigen Zonierungen im Tertiär Norddeutschlands. – Revue de Paléobiologie 24 (2): 697-718";"";"";"";"";"";"Astruper Mergelgrube, Osnabrück, Deutschland";"";"";"7005252";"";"";"";"1803-12-31";"";"";"";"1803-12-31";"";"";"";"";"00027: 701;
00029: 727;
00030: 735";"00139: 18;
00453: 147";"00139: Taf. 1, Fig. 4;
00453: Taf. 1, Fig. 4";"ja";"Dunker (1847: 129), Sandberger (1863: 384), Speyer (1864: 321), v. Koenen (1867: 151, Taf. 14, Fig. 1b; 1868: 224; 1894: 1339), Lienenklaus (1891: 92), Harder (1913: 43), Albrecht & Valk (1943: 15), Görges (1957: 122-123), García Ramos (2006: 25, 29, 32-33, Fig. 2)";"Holotypus durch Monotypie";"Georg-August-Universität Göttingen, Geowissenschaftliches Zentrum, Museum, Sammlungen & Geopark";"UNI Gö, Geowissenschaftliches Zentrum, Museum, Magazin Geologie/Paläontologie, Raum 16-025, Historische Sammlung";"";"";"";"";"";"";"";"Naturalia";"";"die Rechte für die digitalen 2D-Einzelaufnahmen liegen beim Geowissenschaftlichen Museum Göttingen, GZG";"";"2";"1";"";"M. Reich, A. Böhme, A. Gehler";"2010-05-04";"A. Gehler";"2013-11-19";"";"";"";"";"";""
9;27;1;1441196827;1441196827;5;"Ethnologie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"nein";"";"";"Georg-August-Universität Göttingen, Institut für Ethnologie";"";"";"";"";"";"";"";"";"Artificialia/Naturalia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
