kerndaten_id,title,lat,long
1,Dazit-Porphyr “Porfido rosso antico“,0,0
2,Glimmer,50.7333333333,13.7666666667
3,Kap-Stachelschwein (<i>Hystrix africaeaustralis</i>) [Rasselbecher],-33.9333333333,18.4666666667
4,Limerick (Steinmeteorit),52.5666666667,-8.8
646,Stannern (Steinmeteorit),49.2833333333,15.5666666667
5,"Stammstück eines Baumfarns (<i>Cyathea arborea</i>)
",0,0
6,Fiederblättchen und Sporangien des fossilen Farns <i>Scolecopteris elegans</i>,50.4833333333,12.1333333333
7,Allanit-(Ce),63.0833333333,-50.6666666667
8,Brachiopode (<i>Pliothyrina grandis</i>),0,0
9,Ethnologie,0,0
10,Dazit-Porphyr “Porfido rosso antico“,0,0
11,Vulkanische Asche,51.7833333333,-177.9166666667
12,Schwefel,28.2733333333,-16.6422222222
13,Graphit,66,175
14,Chalkopyrit,50.3,-5.2166666667
15,Kieselsinter,0,0
16,Lapislazuli,53,107.6666666667
17,Schriftgranit,57.6833333333,-2.6833333333
18,Baryt (auf Fluorit),53.0166666667,-1.5333333333
19,"Chaetitider Schwamm (<i>Chaetetis radians</i>?), aufgewachsen auf einer rugosen Koralle (<i>Petalaxis</i> sp.?)",0,0
20,Steinbach [Grimma] (Stein-Eisen-Meteorit),50.5,-12.5
21,Krasnojarsk (Stein-Eisen-Meteorit),54.9,91.8
22,Campo del Cielo (Eisenmeteorit),-27.4666666667,-60.5833333333
23,Brachiopoden (<i>Pliothyrina grandis</i>),0,0
24,Brachiopoden (<i>Pliothyrina grandis</i>),52.2833333333,8.05
25,Anatomie und Anthropologie,0,0
26,Brachiopoden (<i>Pliothyrina grandis</i>),52.2833333333,8.05
27,Wollhaarmammut (<i>Mammuthus primigenius</i>) [Backenzahn],0,0
28,Mensch (Georgierin) [Schädel],55.75,37.7
29,Mensch (Tahitianer) [Schädel],-17,-150
172,Mensch (Kroate) [Schädel],0,0
30,Mensch (Evenke) [Schädel],0,0
31,Mensch (Javaner) [Schädel],0,0
32,Mensch (Grieche) [Schädel],38,23.7333333333
33,Mensch (Türke) [Schädel],46.6166666667,31.55
34,Mensch (Norweger) [Schädel],62,10
35,"Farnholz ""<i>Psaronius</i>""",50.9,13.4
36,Mensch (Engländer) [Schädel],55.75,37.7
37,Mensch (Schotte) [Schädel],0,0
38,Mensch (Russe) [Schädel],0,0
39,Mensch (Kroate) [Schädel],0,0
40,Mensch (Franzose) [Schädel],46,2
41,Mensch (Niederländer) [Schädel],0,0
42,Mensch (Russe) [Schädel],55.75,37.7
43,Mensch (Litauer) [Schädel],0,0
44,Mensch (Italiener: Sizilianer) [Schädel],38.1333333333,13.3833333333
45,Mensch (Franzose) [Schädel],48.7666666667,11.45
46,Mensch (Italiener) [Schädel],55.75,37.7
47,Mensch (Kasache) [Schädel],51.8333333333,55
48,Wollhaarmammut (<i>Mammuthus primigenius</i>) [Backenzahn],52.1833333333,10.4833333333
49,Wollhaarmammut (<i>Mammuthus primigenius</i>) [Backenzahn],0,0
50,Wollhaarnashorn (<i>Coelodonta antiquitatis</i>) [Backenzahn],51.7016666667,10.1558333333
