SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
1,HST0330LimerickMeteorit,,HST,0330,,,LimerickMeteorit,,,
2,HST0330LimerickMeteorit,,HST,0330,,,LimerickMeteorit,,,
3,DSC022714Kopie,,DSC022714Kopie,,,,,,,
4,DSC022694Kopie,,DSC022694Kopie,,,,,,,
5,DSC022683,,DSC022683,,,,,,,
6,HST0250Cyatheaarborea,,HST,0250,,,Cyatheaarborea,,,
7,HST0250Cyatheaarborea,,HST,0250,,,Cyatheaarborea,,,
8,HST0250CyatheaarboreaEtikett,,HST,0250,,,CyatheaarboreaEtikett,,,
9,HST0237ScolecopteriselegansGestein,,HST,0237,,,ScolecopteriselegansGestein,,,
10,HST0237ScolecopteriselegansEtikett,,HST,0237,,,ScolecopteriselegansEtikett,,,
11,HST0237ScolecopteriselegansGestein,,HST,0237,,,ScolecopteriselegansGestein,,,
12,HST0237ScolecopteriselegansEtikett,,HST,0237,,,ScolecopteriselegansEtikett,,,
13,MIN839265Allanit,,MIN,839265,,,Allanit,,,
14,head,,MIN,839265,,,head,,,
15,MIN839265Allanit,,MIN,839265,,,Allanit,,,
16,MIN839265AllanitEtikett,,MIN,839265,,,AllanitEtikett,,,
17,Scolecopteris360Animation,,,,,,Scolecopteris360Animation,,,
18,GZGHST0450Pliothyrinagrandis,GZG,HST,0450,,,Pliothyrinagrandis,,,
19,GZGHST0450PliothyrinagrandisFarbskala,GZG,HST,0450,,,Pliothyrinagrandis,,,Farbskala
20,GZGHST0450PliothyrinagrandisFarbskala,GZG,HST,0450,,,Pliothyrinagrandis,,,Farbskala
21,GZGHST0055DazitPorphyr,GZG,HST,0055,,,DazitPorphyr,,,
22,GZGHST0055DazitPorphyrFarbskala,GZG,HST,0055,,,DazitPorphyr,,,Farbskala
23,GZGHST0055DazitPorphyrFarbskala,GZG,HST,0055,,,DazitPorphyr,,,Farbskala
24,GZGHST0435Chalkopyrit,GZG,HST,0435,,,Chalkopyrit,,,
25,GZGHST0435ChalkopyritFarbskala,GZG,HST,0435,,,Chalkopyrit,,,Farbskala
26,GZGHST0435ChalkopyritFarbskala,GZG,HST,0435,,,Chalkopyrit,,,Farbskala
27,GZGHST0429Kieselsinter,GZG,HST,0429,,,Kieselsinter,,,
28,GZGHST0429KieselsinterFarbskala,GZG,HST,0429,,,Kieselsinter,,,Farbskala
29,GZGHST0429KieselsinterFarbskala,GZG,HST,0429,,,Kieselsinter,,,Farbskala
30,GZGHST0421Lasurstein,GZG,HST,0421,,,Lasurstein,,,
31,GZGHST0421LasursteinFarbskala,GZG,HST,0421,,,Lasurstein,,,Farbskala
32,GZGHST0421LasursteinFarbskala,GZG,HST,0421,,,Lasurstein,,,Farbskala
33,GZGHST0449FluoritBaryt,GZG,HST,0449,,,FluoritBaryt,,,
34,GZGHST0449FluoritBaryt,GZG,HST,0449,,,FluoritBaryt,,,
35,GZGHST0449FluoritBarytFarbskala,GZG,HST,0449,,,FluoritBaryt,,,Farbskala
36,GZGHST0449FluoritBarytFarbskala,GZG,HST,0449,,,FluoritBaryt,,,Farbskala
37,GZGHST0446Chaetetisradians,GZG,HST,0446,,,Chaetetisradians,,,
38,GZGHST0446ChaetetisradiansFarbskala,GZG,HST,0446,,,Chaetetisradians,,,Farbskala
39,GZGHST0446ChaetetisradiansFarbskala,GZG,HST,0446,,,Chaetetisradians,,,Farbskala
40,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
41,GZGHST043604630464vulkanischeAschen,GZG,HST,0436,4630464,,vulkanischeAschen,,,
42,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
43,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
44,GZGHST0436vulkanischeAschen,GZG,HST,0436,,,vulkanischeAschen,,,
45,GZGHST043604630464vulkanischeAschen,GZG,HST,0436,4630464,,vulkanischeAschen,,,
46,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
47,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
48,GZGHST0463vulkanischeAschen,GZG,HST,0463,,,vulkanischeAschen,,,
49,GZGHST043604630464vulkanischeAschen,GZG,HST,0436,4630464,,vulkanischeAschen,,,
50,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
51,GZGHST043604630464vulkanischeAschenFarbskala,GZG,HST,0436,04630464,,vulkanischeAschen,,,Farbskala
52,GZGHST0464vulkanischeAschen,GZG,HST,0464,,,vulkanischeAschen,,,
53,GZGHST0436vulkanischeAschen,GZG,HST,0436,,,vulkanischeAschen,,,
54,GZGHST0463vulkanischeAschen,GZG,HST,0463,,,vulkanischeAschen,,,
